Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Mike Muscala,C,31,TOT,63,2.1,.449,.587,6.1
Robert Covington,PF,32,LAC,48,2.1,.445,.563,6
Andre Drummond,C,29,CHI,67,2.5,.606,.606,6
Saben Lee,PG,23,TOT,25,2.0,.405,.450,6
Jordan Nwora,SF,24,MIL,38,2.0,.386,.487,6
Nickeil Alexander-Walker,SG,24,MIN,23,2.1,.384,.488,5.9
Maxi Kleber,PF,31,DAL,37,2.1,.456,.571,5.9
Mike Muscala,C,31,BOS,20,2.1,.472,.612,5.9
Jaylin Williams,C,20,OKC,49,2.1,.436,.534,5.9
Patrick Beverley,PG,34,CHI,22,2.1,.395,.500,5.8
Goga Bitadze,C,23,ORL,17,2.5,.575,.589,5.8
Josh Christopher,SG,21,HOU,64,2.4,.465,.497,5.8
Johnny Davis,SG,20,WAS,28,2.4,.386,.436,5.8
Stanley Johnson,SF,26,SAS,30,2.2,.533,.607,5.8
Dario Šarić,PF,28,PHO,37,2.1,.427,.503,5.8
Charles Bassey,C,22,SAS,35,2.5,.644,.656,5.7
Dewayne Dedmon,C,33,MIA,30,2.1,.496,.539,5.7
R.J. Hampton,SG,21,ORL,26,1.9,.439,.518,5.7
Rodney McGruder,SG,31,DET,32,1.9,.408,.543,5.7
Gary Payton II,SG,30,GSW,7,2.4,.607,.679,5.7
